comp_bytes	uncomp_bytes	num_apps	path	apps
10096	10096	24	lib/arm64-v8a/libandroidx.graphics.path.so	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
9213	29908	1	res/iw.xml	alchemist
8613	25720	1	res/tj.xml	alchemist
8315	8315	4	res/ze.png	findfamily,maps,photos,weather
7784	7784	24	lib/arm64-v8a/libdatastore_shared_counter.so	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
7710	29972	1	res/BY.xml	alchemist
7660	25659	1	org/mozilla/javascript/resources/Messages.properties	youpipe
7540	22287	1	org/mozilla/javascript/resources/Messages_zh_CN.properties	youpipe
7443	216555	1	assets/original_pack.json	unblockjam
7114	26038	1	org/mozilla/javascript/resources/Messages_fr.properties	youpipe
6856	6856	4	res/A6.png	findfamily,maps,photos,weather
6850	60899	1	assets/holidays/Israel.json	calendar
6762	23120	1	res/Ry.xml	alchemist
6732	49608	2	org/bouncycastle/x509/CertPathReviewerMessages_de.properties	messages,passwords
6231	25572	1	res/-D.xml	alchemist
6081	18944	1	res/V_.xml	alchemist
6038	42868	2	org/bouncycastle/x509/CertPathReviewerMessages.properties	messages,passwords
5966	30708	1	res/Wp.xml	alchemist
5933	21672	1	res/Oe.xml	alchemist
5890	21328	1	res/-H.xml	alchemist
5655	14652	4	res/ek.xml	findfamily,maps,photos,weather
5624	16712	1	res/OE.xml	alchemist
5592	20648	1	res/JL.xml	alchemist
5536	20228	1	res/G7.xml	alchemist
5526	5526	1	assets/dexopt/baseline.prof	messages
5503	30920	24	kotlin/kotlin.kotlin_builtins	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
5484	5484	1	assets/dexopt/baseline.prof	pdf
5480	5480	1	assets/dexopt/baseline.prof	youpipe
5407	15472	1	res/Dg.xml	alchemist
5389	5389	4	res/ob.png	findfamily,maps,photos,weather
5299	32864	1	res/uz.xml	alchemist
5290	19924	1	res/xG.xml	alchemist
5235	19380	1	res/5N.xml	alchemist
5232	5232	1	assets/dexopt/baseline.prof	findfamily
5226	21588	1	res/kt.xml	alchemist
5197	14848	1	res/0o.xml	alchemist
5168	18344	1	res/El.xml	alchemist
5138	12676	1	res/gE1.xml	alchemist
5108	19820	1	res/Yv.xml	alchemist
5090	17068	1	res/zO.xml	alchemist
5067	17776	1	res/cL.xml	alchemist
5053	5053	1	assets/dexopt/baseline.prof	maps
