comp_bytes	num_apps	waste_bytes	path	apps
1544	24	35512	res/IX.9.png	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
1526	24	35098	res/io.9.png	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
1447	24	33281	kotlin/reflect/reflect.kotlin_builtins	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
1380	24	31740	kotlin/ranges/ranges.kotlin_builtins	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
1370	2	1370	com/google/i18n/phonenumbers/data/PhoneNumberMetadataProto_JP	contacts,messages
1243	24	28589	res/G2.9.png	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
1231	2	1231	com/google/i18n/phonenumbers/data/PhoneNumberMetadataProto_DE	contacts,messages
1208	24	27784	res/nf.png	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
1206	4	3618	google/protobuf/empty.proto	camera,messages,photos,youpipe
1194	4	3582	google/protobuf/source_context.proto	camera,messages,photos,youpipe
1190	2	1190	com/google/i18n/phonenumbers/data/PhoneNumberAlternateFormatsProto_49	contacts,messages
1179	2	1179	com/google/i18n/phonenumbers/data/PhoneNumberMetadataProto_GB	contacts,messages
1111	24	25553	kotlin/concurrent/atomics/atomics.kotlin_builtins	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
1102	2	1102	res/dO.xml	findfamily,maps
1101	3	2202	res/dO.xml	clock,notes,openassistant
1101	8	7707	res/dO.xml	chess,contacts,health,office,pipes,solitaire,unblockjam,wordmaker
1101	2	1101	res/dO.xml	music,youpipe
1099	2	1099	res/dO.xml	calendar,email
1098	24	25254	res/rj.9.png	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
1096	24	25208	res/h7.9.png	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
